numero_de_radicado|fecha_ult_actuacion
11001400304020230079901|11 Jun 2024
11001310303520240009900|09 Dec 2024
11001310303620200040400|21 Nov 2024
11001310302420200035500|05 Dec 2024
11001310305020200025800|27 Nov 2024
11001400302320230082800|26 Nov 2024
11001400306020210049800|13 Apr 2023
11001418904220240078900|22 Jul 2024
11001418903620230074400|23 Oct 2024
11001310503320230050100|no_encontro_informacion
11001400303420240057000|09 Oct 2024
68001311000520230051700|04 Jul 2024
